lat,lon
42.68656,-84.60381
42.7435,-84.62582
42.72621,-84.60488
42.69413,-84.60351
42.69364,-84.60672
42.69343,-84.6084
42.69342,-84.61122
42.69157,-84.61154
42.68916,-84.61031
42.74117,-84.60408
42.74116,-84.60692
42.74117,-84.60964
42.74114,-84.61713
42.7415,-84.62236
42.74544,-84.623
42.74546,-84.62936
42.74094,-84.63063
42.74023,-84.62488
42.74106,-84.62125
42.74103,-84.61778
42.74101,-84.61532
42.74103,-84.61233
42.74106,-84.60865
42.7411,-84.61443
42.74115,-84.62016
42.68263,-84.60314
42.68029,-84.60313
42.73323,-84.603
42.72719,-84.60307
42.72968,-84.60302
42.74107,-84.60577
42.68837,-84.60774
42.68659,-84.60566
42.67431,-84.60313
42.74069,-84.62722
42.67115,-84.60308
42.71773,-84.63013
42.72668,-84.60592
42.7267,-84.62006
42.72659,-84.62017
42.72658,-84.61278
42.72668,-84.6129
42.7223,-84.62292
42.71647,-84.62391
42.72245,-84.62279
